Radius (nanometer),g(r) (chain O - water O)
0.0025,0.0
0.0075,0.0
0.012499999,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.052500002,0.0
0.057499997,0.0
0.0625,0.0
0.067499995,0.0
0.072500005,0.0
0.0775,0.0
0.082499996,0.0
0.087500006,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.14750001,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.17750001,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.19749999,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.22749999,0.0
0.2325,0.0
0.2375,0.0
0.2425,8.826539196729767e-05
0.2475,0.0013133992123742198
0.2525,0.009932387447703668
0.2575,0.043681371354343294
0.2625,0.11351982003586925
0.26749998,0.22069817531136093
0.2725,0.34555676608479347
0.2775,0.44423354009726745
0.2825,0.5072488751022765
0.2875,0.5358208064626614
0.2925,0.5251524105748748
0.2975,0.5039517850155643
0.3025,0.47472619415863143
0.3075,0.44036522554159996
0.3125,0.4046476191504432
0.3175,0.36983690705703576
0.3225,0.34313577558056885
0.3275,0.32712341544255225
0.3325,0.3127130362235972
0.3375,0.29873136787234394
0.3425,0.2845415212630319
0.3475,0.2821510714757058
0.3525,0.2804284831717911
0.35750002,0.2818768245261368
0.3625,0.28424900240755346
0.3675,0.2928814210734918
0.3725,0.3021867671711374
0.3775,0.31725477638991934
0.3825,0.334737009722349
0.3875,0.34632472817968446
0.39249998,0.3645943710995323
0.3975,0.3920455070419499
0.4025,0.414373267329273
0.4075,0.4438883282616392
0.4125,0.4717216488408152
0.4175,0.4979515803116734
0.4225,0.5325978950046685
0.4275,0.5569557392758134
0.4325,0.5861222355501107
0.4375,0.6261981358641022
0.4425,0.6572463885925284
0.4475,0.6887553901153577
0.4525,0.719191559100654
0.4575,0.7390779756892136
0.4625,0.7621665629821555
0.4675,0.7719208792676852
0.4725,0.7781886789094195
0.4775,0.7789033030707546
0.48250002,0.7741554966043237
0.4875,0.7691830308904274
0.4925,0.7628893539492443
0.4975,0.7497497284287206
0.5025,0.7456039849280401
0.5075,0.7323767760285138
0.5125,0.7265816634489843
0.5175,0.7126900211192202
0.5225,0.7059397943681669
0.5275,0.6980112997726128
0.5325,0.6934150638982445
0.5375,0.6917939485126046
0.5425,0.6815584701900637
0.5475,0.6815853563177152
0.5525,0.6696948318621715
0.5575,0.6699797417356713
0.5625,0.6635913704412698
0.5675,0.6566730120707062
0.5725,0.6518328766133467
0.5775,0.6522893746169784
0.5825,0.6457775080695836
0.5875,0.6434022130908901
0.5925,0.6383430213518375
0.5975,0.6382151929374863
0.6025,0.6306903940574948
0.6075,0.6249578466352632
0.6125,0.6276145046481344
0.6175,0.6237959528296299
0.6225,0.6218393702323368
0.6275,0.620906024180762
0.6325,0.6240379891097372
0.6375,0.6240743939362644
0.6425,0.6291022134115163
0.6475,0.6295867232532165
0.6525,0.6339178849084197
0.6575,0.6418968559085011
0.6625,0.6499719167123326
0.6675,0.6581859900182896
0.6725,0.6622632897999077
0.6775,0.6730449153490998
0.6825,0.67708087573519
0.6875,0.6879686394692939
0.6925,0.6982430626100956
0.6975,0.7041416946925423
0.7025,0.7143048135482915
0.7075,0.7231936333823555
0.7125,0.7303375184507136
0.7175,0.7391887395517196
0.7225,0.7463929961954017
0.7275,0.7539008795813684
0.7325,0.7595992062970207
0.7375,0.7668763760148931
0.7425,0.7700907345324957
0.7475,0.7745557569877993
0.7525,0.7764103875947452
0.7575,0.7794563791102793
0.7625,0.7824322907661024
0.7675,0.7791585411265177
0.7725,0.7827339693930251
0.7775,0.7814910384407038
0.7825,0.78368869385306
0.7875,0.7829373162147796
0.7925,0.788171182026263
0.7975,0.7883782700015564
0.8025,0.7918368673148386
0.8075,0.7951914288742138
0.8125,0.7926430302626362
0.8175,0.7961302809303618
0.8225,0.7948226499115645
0.8275,0.7974602627125741
0.8325,0.801838795509832
0.8375,0.8051605359516213
0.8425,0.8042885063755711
0.8475,0.8058721689418415
0.8525,0.8099185949549942
0.8575,0.8098284833386241
0.8625,0.8162780963939779
0.8675,0.8163626544512137
0.8725,0.8176709334665809
0.8775,0.8164923252452438
0.8825,0.8217087620894381
0.8875,0.8204434555644476
0.8925,0.8263750675194438
0.8975,0.8249597395298108
0.9025,0.8282095927766898
0.9075,0.8312409034869257
0.9125,0.8274581689248692
0.9175,0.8323561484031327
0.9225,0.8319361015689837
0.9275,0.8344169499569655
0.9325,0.8390999868113673
0.9375,0.8388472162727265
0.9425,0.8433475264334506
0.9475,0.8400272761471395
0.9525,0.8424928098624764
0.9575,0.8454691735683486
0.9625,0.8498076780810795
0.9675,0.8464861027197924
0.9725,0.8496255934599645
0.9775,0.8486534502274206
0.9825,0.8542419522526735
0.9875,0.8515247218153273
0.9925,0.8575585818499185
0.9975,0.8571655874431859
1.0025,0.8584183092912894
1.0074999,0.8590393471159823
1.0125,0.8626486895446407
1.0174999,0.8629029945771498
1.0225,0.8638776776097784
1.0274999,0.8655007023841113
1.0325,0.8657059708382874
1.0374999,0.8680099848828289
1.0425,0.8690697442553422
1.0474999,0.870502079973059
1.0525,0.875798850260389
1.0574999,0.8744008437848505
1.0625,0.8773576426902991
1.0675001,0.8780222555185424
1.0725,0.8807940795319109
1.0775001,0.8811999047694627
1.0825,0.8832360026627911
1.0875001,0.8854553122910488
1.0925,0.8860200112910411
1.0975001,0.885949790847382
1.1025,0.8896167623468545
1.1075001,0.8913684035958136
1.1125,0.8952933327330642
1.1175001,0.8938961169613082
1.1225,0.8982331323458161
1.1275,0.8984966929541773
1.1324999,0.9003819470376133
1.1375,0.9023496159714939
1.1424999,0.9038407827520655
1.1475,0.9031599276308159
1.1524999,0.9027172481752275
1.1575,0.905504018681609
1.1624999,0.9092981159696275
1.1675,0.9089175506784498
1.1724999,0.9111214236166051
1.1775,0.9114591766539223
1.1824999,0.9119792823098498
1.1875,0.9128596340279471
1.1925001,0.9159126915460301
1.1975,0.9141380794527816
1.2025001,0.9172188647234231
1.2075,0.9182336522429566
1.2125001,0.919820294361878
1.2175,0.9194951088450501
1.2225001,0.9188912388523562
1.2275,0.9218763810194145
1.2325001,0.9210904725567596
1.2375,0.9214788611926097
1.2425001,0.9255039881108988
1.2475,0.9270047893410193
1.2525,0.9290495920879149
1.2574999,0.9285919079356811
1.2625,0.9299078051369897
1.2674999,0.929062702156603
1.2725,0.9317739787334326
1.2774999,0.9323047695268243
1.2825,0.9337217752628526
1.2874999,0.9332996185955046
1.2925,0.9343795199721597
1.2974999,0.938161277109778
1.3025,0.9358530976751301
1.3074999,0.9366645988110178
1.3125,0.9373577524876572
1.3175001,0.9405856007649469
1.3225,0.939579692722389
1.3275001,0.9432999175351525
1.3325,0.9439174707699841
1.3375001,0.9421230877177329
1.3425,0.9437665596761249
1.3475001,0.9450659519821328
1.3525,0.944271984871206
1.3575001,0.9457676424080439
1.3625,0.9477277970011534
1.3675001,0.946656788599385
1.3725,0.9484747185426172
1.3775,0.9482197285898752
1.3824999,0.9521406030188966
1.3875,0.9513682577679251
1.3924999,0.9529315581742009
1.3975,0.9514511918056912
1.4024999,0.9535179007099919
1.4075,0.9534142619862824
1.4124999,0.9577123320514996
1.4175,0.9561917561870416
1.4224999,0.9550474735016239
1.4275,0.9572196723357649
1.4324999,0.9600867885066886
1.4375,0.9598128625591673
1.4425001,0.9587003459600151
1.4475,0.9605101924214972
1.4525001,0.9599817442512921
1.4575,0.961333623093808
1.4625001,0.9622152183414211
1.4675,0.9625210215309739
1.4725001,0.9627489740147066
1.4775,0.9637922525148541
1.4825001,0.9636868669535499
1.4875,0.963477739407804
1.4925001,0.9671902325695197
1.4975,0.9663373383905002
1.5025,0.9689084740618451
1.5074999,0.9677580116744596
1.5125,0.968609695039738
1.5174999,0.9704138410613193
1.5225,0.9696339633383914
1.5274999,0.9681515944920058
1.5325,0.9701652961858839
1.5374999,0.96962573806722
1.5425,0.9706302415622493
1.5474999,0.9710074168081444
1.5525,0.9725495073343114
1.5574999,0.971023749761946
1.5625,0.9741262611031793
1.5675001,0.9723079474443981
1.5725,0.975551005028554
1.5775001,0.974695117380379
1.5825,0.9767798141664858
1.5875001,0.9762937523758963
1.5925,0.97593042430851
1.5975001,0.9780399423897206
1.6025,0.9760088079319394
1.6075001,0.9786122661742563
1.6125,0.9789155737708497
1.6175001,0.9784959623199462
1.6225,0.9770926589526099
1.6275,0.9790508436628131
1.6324999,0.979942048123941
1.6375,0.9799552582451021
1.6424999,0.9804733784024456
1.6475,0.9804572481610953
1.6524999,0.9807645837387491
1.6575,0.9800148531471538
1.6624999,0.9809840640620807
1.6675,0.9813198998650307
1.6724999,0.9823133685715197
1.6775,0.9827314405007935
1.6824999,0.9829391150261141
1.6875,0.9851556999605823
1.6925001,0.9850855871435926
1.6975,0.9842730931489942
1.7025001,0.9839249889527671
1.7075,0.984361544628645
1.7125001,0.9877380886533845
1.7175,0.9834041909213129
1.7225001,0.9867373402032863
1.7275,0.9873116221549206
1.7325001,0.9873707825238072
1.7375,0.9877386789083935
1.7425001,0.9864823021094464
1.7475,0.9863783144295529
1.7525,0.9890792319494657
1.7574999,0.9882159585556661
1.7625,0.989764494711807
1.7674999,0.9875012227945097
1.7725,0.9891021018754231
1.7774999,0.9895643630885346
1.7825,0.9907983797764075
1.7874999,0.9891865783565659
1.7925,0.9881032255328559
1.7974999,0.9898816281731555
1.8025,0.9892669516391241
1.8074999,0.99143928965865
1.8125,0.991225178675223
1.8175001,0.9904370705896438
1.8225,0.9925803218931489
1.8275001,0.9910117244880335
1.8325,0.9921961111462665
1.8375001,0.9918715560575913
1.8425,0.9932483358793069
1.8475001,0.9918772504844565
1.8525,0.991986480618877
1.8575001,0.9934865499776968
1.8625,0.9931268636644033
1.8675001,0.9936498982703731
1.8725,0.99326182862557
1.8775,0.9934525750465257
1.8824999,0.9931006551837182
1.8875,0.9944993898379539
1.8924999,0.9931270568737945
1.8975,0.9961423519263867
1.9024999,0.9953843429052467
1.9075,0.9947017088756519
1.9124999,0.9949236291479284
1.9175,0.9954664014207234
1.9224999,0.9958409720865343
1.9275,0.9946843968701913
1.9324999,0.9944187617448546
1.9375,0.995563676802266
1.9425001,0.9965789317566098
1.9475,0.9960497271453082
1.9525001,0.9976907308578131
1.9575,0.9976965864335494
1.9625001,0.9968064186663578
1.9675,0.9976208873818531
1.9725001,0.9982152821345106
1.9775,0.996713701802702
1.9825001,0.9985885065805309
1.9875,0.9962335655831008
1.9925001,0.998612113509895
1.9975,0.9971211122473513
